keys,es,pt,en
MENU_CAMPAIGN,CAMPAÑA,CAMPANHA,CAMPAIGN
MENU_LEVEL_POSITION,NIVEL {position},NÍVEL {position},LEVEL {position}
MENU_PLAY,JUGAR,JOGAR,PLAY
MENU_SELECT_LEVEL,SELECCIONAR NIVEL,SELECIONAR NÍVEL,SELECT LEVEL
MENU_OPTIONS,OPCIONES,OPÇÕES,OPTIONS
MENU_QUIT,SALIR,SAIR,QUIT
MENU_PAUSE_TITLE,PAUSA,PAUSA,PAUSED
MENU_PAUSE_STATUS,NIVEL {position}     PUNTAJE {score},NÍVEL {position}     PONTOS {score},LEVEL {position}     SCORE {score}
MENU_RESUME,REANUDAR,CONTINUAR,RESUME
MENU_RETRY,REINTENTAR,TENTAR DE NOVO,RETRY
MENU_ABANDON,ABANDONAR NIVEL,ABANDONAR NÍVEL,ABANDON LEVEL
MENU_ABANDON_TITLE,ABANDONAR NIVEL,ABANDONAR NÍVEL,ABANDON LEVEL
MENU_ABANDON_BODY,Se pierde el intento en curso.,A tentativa atual será perdida.,The current attempt is lost.
MENU_ABANDON_CONFIRM,ABANDONAR,ABANDONAR,ABANDON
MENU_CONFIRM_TITLE,CONFIRMAR,CONFIRMAR,CONFIRM
MENU_ACCEPT,ACEPTAR,ACEITAR,ACCEPT
MENU_CANCEL,CANCELAR,CANCELAR,CANCEL
MENU_NEXT_LEVEL,SIGUIENTE NIVEL,PRÓXIMO NÍVEL,NEXT LEVEL
MENU_MAIN_MENU,MENU PRINCIPAL,MENU PRINCIPAL,MAIN MENU
MENU_CLOSE_TOOLTIP,Cerrar,Fechar,Close
MENU_BACK,VOLVER,VOLTAR,BACK
OPTIONS_VOLUME_MASTER,Volumen general,Volume geral,Master volume
OPTIONS_VOLUME_MUSIC,Música,Música,Music
OPTIONS_VOLUME_SFX,Efectos,Efeitos,Effects
OPTIONS_SENSITIVITY,Sensibilidad del mouse,Sensibilidade do mouse,Mouse sensitivity
OPTIONS_LOCALE,Idioma,Idioma,Language
OPTIONS_LOCALE_ES,Español,Espanhol,Spanish
OPTIONS_LOCALE_PT,Portugués,Português,Portuguese
OPTIONS_LOCALE_EN,Inglés,Inglês,English
OPTIONS_SCREEN,Pantalla,Tela,Display
OPTIONS_SCREEN_WINDOW,Ventana,Janela,Windowed
OPTIONS_SCREEN_FULL,Pantalla completa,Tela cheia,Fullscreen
OPTIONS_RESOLUTION,Resolución,Resolução,Resolution
OPTIONS_RESOLUTION_VALUE,{width} x {height},{width} x {height},{width} x {height}
OPTIONS_RESOLUTION_NATIVE,Del monitor,Do monitor,Native
OPTIONS_RESOLUTION_CANVAS,La define el navegador,Definida pelo navegador,Set by the browser
OPTIONS_PERCENT,{percent}%,{percent}%,{percent}%
DESKTOP_START,inicio,iniciar,start
DESKTOP_SHUTDOWN,Apagar,Desligar,Shut down
DESKTOP_LEVELS,niveles,níveis,levels
DESKTOP_OPTIONS,opciones,opções,options
DESKTOP_COMPUTER,mi pc,meu pc,my pc
DESKTOP_RECYCLE,papelera,lixeira,recycle bin
START_PLAY,Jugar,Jogar,Play
START_SELECT_LEVEL,Seleccionar nivel,Selecionar nível,Select level
START_OPTIONS,Opciones,Opções,Options
INTRO_LEVEL,NIVEL {number},NÍVEL {number},LEVEL {number}
HUD_EVENT_LOG,// REGISTRO,// REGISTRO,// EVENT LOG
HUD_SYSTEM_ONLINE,SISTEMA EN LINEA,SISTEMA ONLINE,SYSTEM ONLINE
HUD_PRECISION,// PRECISION,// PRECISÃO,// PRECISION
HUD_HIT_SHOT,{hits} ACIERTOS / {shots} TIROS,{hits} ACERTOS / {shots} TIROS,{hits} HIT / {shots} SHOT
HUD_VITALS,// VITALES + RONDA,// VITAIS + RODADA,// VITALS + ROUND
HUD_HP,HP,HP,HP
HUD_AMMO,MUNICION // CARGADOR / RESERVA,MUNIÇÃO // CARREGADOR / RESERVA,AMMO // MAG / STOCK
HUD_TIME,TIEMPO RESTANTE,TEMPO RESTANTE,TIME REMAINING
HUD_ROUND_ACTIVE,RONDA // ACTIVA,RODADA // ATIVA,ROUND // ACTIVE
HUD_ROUND_STANDBY,RONDA // EN ESPERA,RODADA // EM ESPERA,ROUND // STANDBY
HUD_ROUND_COMPLETE,RONDA // COMPLETA,RODADA // COMPLETA,ROUND // COMPLETE
HUD_ROUND_FAILED,RONDA // FALLIDA,RODADA // FALHOU,ROUND // FAILED
HUD_SCORE,// PUNTAJE,// PONTOS,// SCORE
HUD_HITS,{hits} ACIERTOS,{hits} ACERTOS,{hits} HITS
HUD_LEVEL_HEADER,{name} // {position},{name} // {position},{name} // {position}
HUD_LEVEL_LOAD_FAILED,NO SE PUDO CARGAR EL NIVEL,FALHA AO CARREGAR O NÍVEL,LEVEL LOAD FAILED
HUD_LEVEL_STATUS,{rooms} SALAS // {connections} CONEXIONES // F7 SIGUIENTE // F8 ANTERIOR,{rooms} SALAS // {connections} CONEXÕES // F7 PRÓXIMO // F8 ANTERIOR,{rooms} ROOMS // {connections} CONNECTIONS // F7 NEXT // F8 PREVIOUS
SCORE_LEVEL_COMPLETE,NIVEL COMPLETO,NÍVEL COMPLETO,LEVEL COMPLETE
SCORE_RUN_FAILED,INTENTO FALLIDO // {reason},TENTATIVA FALHOU // {reason},RUN FAILED // {reason}
SCORE_RANK,RANGO {letter} - {label},PATENTE {letter} - {label},RANK {letter} - {label}
SCORE_TOTAL,TOTAL,TOTAL,TOTAL
SCORE_CEILING,TECHO DEL NIVEL,TETO DO NÍVEL,LEVEL CEILING
SCORE_CEILING_VALUE,{ceiling}   {percent}%,{ceiling}   {percent}%,{ceiling}   {percent}%
SCORE_BEST_CHAIN,MEJOR CADENA,MELHOR SEQUÊNCIA,BEST CHAIN
SCORE_CHAIN_VALUE,{hits} ACIERTOS   x{multiplier},{hits} ACERTOS   x{multiplier},{hits} HITS   x{multiplier}
SCORE_BIGGEST_BANK,MAYOR POZO,MAIOR POTE,BIGGEST BANK
SCORE_PREVIOUS_BEST,RECORD ANTERIOR,RECORDE ANTERIOR,PREVIOUS BEST
SCORE_RECORD_VALUE,{previous}   {delta},{previous}   {delta},{previous}   {delta}
SCORE_NEW_RECORD,NUEVO RECORD PERSONAL,NOVO RECORDE PESSOAL,NEW PERSONAL BEST
SCORE_INCOMPLETE,INCOMPLETO,INCOMPLETO,INCOMPLETE
REASON_EXIT_REACHED,SALIDA ALCANZADA,SAÍDA ALCANÇADA,EXIT REACHED
REASON_HEALTH_DEPLETED,SIN VIDA,SEM VIDA,HP DEPLETED
REASON_TIME_EXPIRED,TIEMPO AGOTADO,TEMPO ESGOTADO,TIME EXPIRED
BONUS_NO_DAMAGE,SIN DAÑO,SEM DANO,NO DAMAGE
BONUS_SINGLE_CHAIN,CADENA UNICA,SEQUÊNCIA ÚNICA,SINGLE CHAIN
